Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3788,0,1464.363824,0,0,0,0,0,0,0,0,0,0
28.2316,0,1418.939699,0,0,0,0,0,0,0,0,0,0
18.1469,0,1411.580432,0,0,0,0,0,0,0,0,0,0
18.1821,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.1658,0,909.104902,0,0,0,0,0,0,0,0,0,0
12.5835,0,658.291618,0,0,0,0,0,0,0,0,0,0
14.0289,0,629.1770225,0,0,0,0,0,0,0,0,0,0
13.8462,0,701.4460033,0,0,0,0,0,0,0,0,0,0
38.0733,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
